dynasty,chinese,ethnicity,start,end,term,timeline,,,,,,,,,,,,,,,,,
Xia dynasty,夏,Han,-2070,-1600,470,Semi-legendary,,,,,,,,,,,,,,,,,
Shang dynasty,商,Han,-1600,-1046,554,Ancient China,,,,,,,,,,,,,,,,,
Western Zhou,西周,Han,-1046,-771,275,Ancient China,,,,,,,,,,,,,,,,,
Eastern Zhou,東周,Han,-770,-256,514,Ancient China,,,,,,,,,,,,,,,,,
Qin dynasty,秦,Han,-221,-207,14,Imperial China,,,,,,,,,,,,,,,,,
Western Han,西漢,Han,-202,8,209,Imperial China,,,,,,,,,,,,,,,,,
Xin dynasty,新,Han,9,23,14,Imperial China,,,,,,,,,,,,,,,,,
Eastern Han,東漢,Han,25,220,195,Imperial China,,,,,,,,,,,,,,,,,
Cao Wei,曹魏,Han,220,266,46,Imperial China,,,,,,,,,,,,,,,,,
Shu Han,蜀漢,Han,221,263,42,Imperial China,,,,,,,,,,,,,,,,,
Eastern Wu,東吳,Han,222,280,58,Imperial China,,,,,,,,,,,,,,,,,
Western Jin,西晉,Han,266,316,50,Imperial China,,,,,,,,,,,,,,,,,
Eastern Jin,東晉,Han,317,420,103,Imperial China,,,,,,,,,,,,,,,,,
Han Zhao,漢趙,Xiongnu,304,329,25,Imperial China,,,,,,,,,,,,,,,,,
Cheng Han,成漢,Di,304,347,43,Imperial China,,,,,,,,,,,,,,,,,
Former Liang,前涼,Han,314,376,62,Imperial China,,,,,,,,,,,,,,,,,
Later Zhao,後趙,Jie,319,351,32,Imperial China,,,,,,,,,,,,,,,,,
Former Yan,前燕,Xianbei,337,370,33,Imperial China,,,,,,,,,,,,,,,,,
Former Qin,前秦,Di,351,394,43,Imperial China,,,,,,,,,,,,,,,,,
Later Qin,後秦,Qiang,384,417,33,Imperial China,,,,,,,,,,,,,,,,,
Later Yan,後燕,Xianbei,384,407,23,Imperial China,,,,,,,,,,,,,,,,,
Western Qin,西秦,Xianbei,385,431,46,Imperial China,,,,,,,,,,,,,,,,,
Southern Liang,南涼,Xianbei,397,414,17,Imperial China,,,,,,,,,,,,,,,,,
Northern Liang,北涼,Xiongnu,397,439,42,Imperial China,,,,,,,,,,,,,,,,,
Southern Yan,南燕,Xianbei,398,410,12,Imperial China,,,,,,,,,,,,,,,,,
Western Liang,西涼,Han,400,421,21,Imperial China,,,,,,,,,,,,,,,,,
Xia,夏,Xiongnu,407,431,24,Imperial China,,,,,,,,,,,,,,,,,
Northern Yan,北燕,Han,407,436,29,Imperial China,,,,,,,,,,,,,,,,,
Northern Wei,北魏,Xianbei,386,534,148,Imperial China,,,,,,,,,,,,,,,,,
Eastern Wei,東魏,Xianbei,534,550,16,Imperial China,,,,,,,,,,,,,,,,,
Western Wei,西魏,Xianbei,535,557,22,Imperial China,,,,,,,,,,,,,,,,,
Northern Qi,北齊,Han,550,577,27,Imperial China,,,,,,,,,,,,,,,,,
Northern Zhou,北周,Xianbei,557,581,24,Imperial China,,,,,,,,,,,,,,,,,
Liu Song,劉宋,Han,420,479,59,Imperial China,,,,,,,,,,,,,,,,,
Southern Qi,南齊,Han,479,502,23,Imperial China,,,,,,,,,,,,,,,,,
Liang dynasty,梁,Han,502,557,55,Imperial China,,,,,,,,,,,,,,,,,
Chen dynasty,陳,Han,557,589,32,Imperial China,,,,,,,,,,,,,,,,,
Sui dynasty,隋,Han,581,618,37,Imperial China,,,,,,,,,,,,,,,,,
Tang dynasty,唐,Han,618,907,289,Imperial China,,,,,,,,,,,,,,,,,
Wu Zhou,武周,Han,690,705,15,Imperial China,,,,,,,,,,,,,,,,,
Later Liang,後梁,Han,907,923,16,Imperial China,,,,,,,,,,,,,,,,,
Later Tang,後唐,Shatuo,923,937,14,Imperial China,,,,,,,,,,,,,,,,,
Later Jin,後晉,Shatuo,936,947,11,Imperial China,,,,,,,,,,,,,,,,,
Later Han,後漢,Shatuo,947,951,4,Imperial China,,,,,,,,,,,,,,,,,
Later Zhou,後周,Han,951,960,9,Imperial China,,,,,,,,,,,,,,,,,
Wuyue,吳越,Han,907,978,71,Imperial China,,,,,,,,,,,,,,,,,
Ma Chu,馬楚,Han,907,951,44,Imperial China,,,,,,,,,,,,,,,,,
Yang Wu,楊吳,Han,907,937,30,Imperial China,,,,,,,,,,,,,,,,,
Former Shu,前蜀,Han,907,925,18,Imperial China,,,,,,,,,,,,,,,,,
Min Kingdom,閩,Han,909,945,36,Imperial China,,,,,,,,,,,,,,,,,
Southern Han,南漢,Han,917,971,54,Imperial China,,,,,,,,,,,,,,,,,
Jingnan,荊南,Han,924,963,39,Imperial China,,,,,,,,,,,,,,,,,
Later Shu,後蜀,Han,934,965,31,Imperial China,,,,,,,,,,,,,,,,,
Southern Tang,南唐,Han,937,975,36,Imperial China,,,,,,,,,,,,,,,,,
